Stock,Ticker,Name,Headquarters,Employees,Industry,Incorporated,Exchange,Currency,Price,Previous Close,Change,% Change,Open,Day's High,Day's Low,52 Week High,52 Week Low,Shares Outstanding,Volume,Average Volume,Beta,Market Cap,P/E,Insturment,Last Trade Time,IPO Date,Net Income 2022,Cash 2022,Accounts Receivable 2022,Current Liabilities 2022,Average Daily Return,,,,
3M COMPANY (XNYS:MMM),MMM,3M COMPANY,"3M Center, Bldg. 220-13E-26A, SAINT PAUL, MN, 55144-1000 US",92000,Consumer Goods Conglomerates,1929,New York Stock Exchange,USD,105.41,106.37,-0.96,-0.90%,106.49,106.75,104.96,133.91,92.38,551992400,706828.00,3268578,0.97,58185518884,10.81,Stock,9/7/23 15:26,1997-06-23,5777000000,3655000000,4532000000,9523000000,-0.11,,,,
ABBOTT LABORATORIES (XNYS:ABT),ABT,ABBOTT LABORATORIES,"100 Abbott Park Rd, ABBOTT PARK, IL, 60064-3500 US",115000,Healthcare Equipment & Supplies,1900,New York Stock Exchange,USD,101.51,101.56,-0.06,-0.05%,101.95,102.28,100.81,115.83,93.25,1735358000,1135182.00,4182243,0.68,176147513790,34.53,Stock,9/7/23 15:26,1997-06-22,6933000000,9882000000,6218000000,15489000000,-0.08,,,,
ABERCROMBIE & FITCH CO. (XNYS:ANF),ANF,ABERCROMBIE & FITCH CO.,"6301 Fitch Path, NEW ALBANY, OH, 43054 US",7200,Specialty Retailers,1996,New York Stock Exchange,USD,54.19,54.98,-0.79,-1.44%,55.51,55.52,54.09,55.52,14.43,50357070,292076.00,2239267,1.47,2728849623,26.82,Stock,9/7/23 15:25,1997-06-21,2816000,517602000,104506000,902200000,1.39,,,,
ACCENTURE PUBLIC LIMITED COMPANY (XNYS:ACN),ACN,ACCENTURE PUBLIC LIMITED COMPANY,"1 Grand Canal Square, Grand Canal Harbour, Dublin 2, DUBLIN, DUBLIN IE",721000,Software & IT Services,2009,New York Stock Exchange,USD,325.97,326.30,-0.33,-0.10%,324.05,327.34,323.23,328.88,242.80,664311700,313913.00,1548485,1.21,216545684849,29.07,Stock,9/7/23 15:25,1997-06-20,6877169000,7889833000,11776775000,17523496000,0.22,,,,
Acusensus Ltd (XASX:ACE),ACE,Acusensus Ltd,"31 Queen Street, Level 6, MELBOURNE, VICTORIA, 3000 AU",127,Communications & Networking,2018,Australian Securities Exchange,AUD,0.84,0.80,0.04,5.00%,0.82,0.84,0.82,0.90,0.60,126150000,5659.00,58070,-0.87,100920000,NA,Stock,9/7/23 9:00,1997-06-19,NA,NA,NA,NA,No data,,,,
ADOBE INC. (XNAS:ADBE),ADBE,ADOBE INC.,"345 PARK AVE, SAN JOSE, CA, 95110-2704 US",29239,Software & IT Services,1997,Nasdaq Stock Market,USD,559.12,561.94,-2.82,-0.50%,554.00,561.83,551.11,569.98,274.73,455800000,741547.00,2232883,1.33,254846896000,53.66,Stock,9/7/23 15:25,1997-06-18,4756000000,3579000000,2065000000,8128000000,0.68,,,,
"ADVANCED MICRO DEVICES, INC. (XNAS:AMD)",AMD,"ADVANCED MICRO DEVICES, INC.","2485 Augustine Drive, SANTA CLARA, CA, 95054 US",25000,Semiconductors & Semiconductor Equipment,1969,Nasdaq Stock Market,USD,106.49,109.28,-2.79,-2.55%,106.02,107.69,105.09,132.83,54.57,1615671000,23174038.00,65801616,1.80,176560600000,582.19,Stock,9/7/23 15:25,1997-06-17,1320000000,4835000000,4126000000,6369000000,0.71,,,,
Aegon NV (XWBO:AGN),AGN,Aegon NV,"AEGONplein 50, 'S-GRAVENHAGE, ZUID-HOLLAND, 2591 TV NL",18500,Insurance,NA,Wiener Boerse,EUR,4.78,4.82,-0.03,-0.71%,4.80,4.80,4.78,NA,NA,2029727000,550.00,6904910,1.39,9665560000,0.00,Stock,8/23/23 15:50,1997-06-16,NA,NA,NA,NA,No data,,,,
AFENTRA PLC (XLON:AET),AET,AFENTRA PLC,"High Holborn House, 52 54 High Holborn, LONDON, UNITED KINGDOM-NA, WC1V 6RL GB",11,Oil & Gas,1983,London Stock Exchange,GBp,24.35,24.35,0.00,0.00%,NA,NA,NA,32.00,18.85,220053500,131023.00,NA,0.70,53345170,NA,Stock,7/18/23 15:45,1997-06-15,NA,NA,NA,NA,No data,,,,
AFLAC INCORPORATED (XNYS:AFL),AFL,AFLAC INCORPORATED,"1932 Wynnton Rd, COLUMBUS, GA, 31999-0001 US",12882,Insurance,1973,New York Stock Exchange,USD,75.15,74.23,0.92,1.23%,74.47,75.15,73.81,78.43,56.03,594062500,529421.00,2253546,0.93,44640826562,9.94,Stock,9/7/23 15:25,1997-06-14,4201000000,3943000000,NA,837000000,0.03,,,,
